id,title,status,desc,begin_time,end_time,file_path
353221,[correction][quick fix] Should jump to closest problem even if there's a breakpoint,RESOLVED           FIXED       ,"BETA_JAVA7, same in 3.6.2  package xy; public class Try { 	void foo() { 		equals(); // add breakpoint 	} }  - add a line breakpoint to indicated line - put caret at end of line - Ctrl+1 => expected: Caret should jump to error position => was: Caret stays at end, no quick fix offered",2011-07-27 11:08 EDT by Markus Keller    ,2012-03-26 12:01 EDT       (History)     ,org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/text/correction/JavaCorrectionAssistant.java
355039,[nls tooling] Error searching references to the selected properties key,RESOLVED           FIXED       ,"Created attachment 201699 [details] stacktrace  I control-clicked on a property key in a bundle.properties file and got the attached error:  ClassCastException: org.eclipse.core.internal.resources.Project cannot be cast to org.eclipse.core.resources.IStorage    eclipse.buildId=I20110613-1736 java.version=1.6.0_26 java.vendor=Sun Microsystems Inc. BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=fr_FR",2011-08-18 04:37 EDT by Nicolas Bros    ,2012-03-22 09:29 EDT       (History)     ,org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/propertiesfileeditor/PropertyKeyHyperlink.java
95862,NPE in CompletionProposalCollector,VERIFIED           FIXED       ,"N20050517-0010  Found in .log, sorry no steps. Nothing strange seen in the UI  !ENTRY org.eclipse.ui 4 4 2005-05-18 22:18:15.713 !MESSAGE Unhandled event loop exception  !ENTRY org.eclipse.ui 4 0 2005-05-18 22:18:15.713 !MESSAGE Failed to execute runnable (java.lang.NullPointerException) !STACK 0 org.eclipse.swt.SWTException: Failed to execute runnable (java.lang.NullPointerException) 	at org.eclipse.swt.SWT.error(SWT.java:2940) 	at org.eclipse.swt.SWT.error(SWT.java:2863) 	at org.eclipse.swt.widgets.Synchronizer.runAsyncMessages(Synchronizer.java:121) 	at org.eclipse.swt.widgets.Display.runAsyncMessages(Display.java:2898) 	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:2557) 	at org.eclipse.ui.internal.Workbench.runEventLoop(Workbench.java:1601) 	at org.eclipse.ui.internal.Workbench.runUI(Workbench.java:1565) 	at org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:315) 	at org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:143) 	at org.eclipse.ui.internal.ide.IDEApplication.run(IDEApplication.java:103) 	at org.eclipse.core.internal.runtime.PlatformActivator$1.run(PlatformActivator.java:230) 	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:371) 	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:160) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25) 	at java.lang.reflect.Method.invoke(Method.java:585) 	at org.eclipse.core.launcher.Main.invokeFramework(Main.java:330) 	at org.eclipse.core.launcher.Main.basicRun(Main.java:274) 	at org.eclipse.core.launcher.Main.run(Main.java:977) 	at org.eclipse.core.launcher.Main.main(Main.java:952) Caused by: java.lang.NullPointerException 	at org.eclipse.jdt.ui.text.java.CompletionProposalCollector.<init>(CompletionProposalCollector.java:129) 	at org.eclipse.jdt.internal.ui.text.java.ExperimentalResultCollector.<init>(ExperimentalResultCollector.java:33) 	at org.eclipse.jdt.internal.ui.text.java.JavaCompletionProcessor.internalComputeCompletionProposals(JavaCompletionProcessor.java:323) 	at org.eclipse.jdt.internal.ui.text.java.JavaCompletionProcessor.computeCompletionProposals(JavaCompletionProcessor.java:313) 	at org.eclipse.jface.text.contentassist.ContentAssistant.computeCompletionProposals(ContentAssistant.java:1499) 	at org.eclipse.jface.text.contentassist.CompletionProposalPopup.computeProposals(CompletionProposalPopup.java:256) 	at org.eclipse.jface.text.contentassist.CompletionProposalPopup.access$7(CompletionProposalPopup.java:253) 	at org.eclipse.jface.text.contentassist.CompletionProposalPopup$1.run(CompletionProposalPopup.java:216) 	at org.eclipse.swt.custom.BusyIndicator.showWhile(BusyIndicator.java:69) 	at org.eclipse.jface.text.contentassist.CompletionProposalPopup.showProposals(CompletionProposalPopup.java:211) 	at org.eclipse.jface.text.contentassist.ContentAssistant$2.run(ContentAssistant.java:327) 	at org.eclipse.swt.widgets.RunnableLock.run(RunnableLock.java:35) 	at org.eclipse.swt.widgets.Synchronizer.runAsyncMessages(Synchronizer.java:118) 	... 18 more",2005-05-18 17:33 EDT by Dani Megert    ,2005-05-27 06:25 EDT       (History)     ,org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/text/java/JavaCompletionProcessor.java
355830,[navigation] Help of 'Visible Java Categories' talks about workbench windows,RESOLVED           FIXED       ,"M20110824-0800  1. Open a Java file. 2. Activate the 'Outline' view > Ctrl+F10 > Visible Categories... 3. F1 4. The text below doesn't clarify the purpose of this dialog.  ""About Visible Java Categories Each workbench window contains one or more perspectives, which are made up of various views and editors.""",2011-08-25 09:21 EDT by Remy Suen    ,2011-08-26 03:37 EDT       (History)     ,org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/IJavaHelpContextIds.java org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/actions/CategoryFilterActionGroup.java
96174,[typing] Mysterious /*${cursor}*/ added when completing an else,VERIFIED           FIXED       ,"N20050519-0010  1. Enter the following:  if (true) { } el<ctrl+space>  2. Choose ""else"" as the completion. 3. The result is:  		if (true) { 		} else { 			/*${cursor}*/ 		}  I am not sure what ${cursor} means, but it seems like this is a bug.",2005-05-20 17:24 EDT by Billy Biggs    ,2005-06-04 11:35 EDT       (History)     ,org.eclipse.jdt.ui/coreextension/org/eclipse/jdt/internal/corext/template/java/JavaFormatter.java
96231,[typing] Identing fails for the first line of pasted code,VERIFIED           FIXED       ,"When you paste more than one line of java code in M7, the indentation of  the  first line is gone, and you gotta manually correct it.  This happens exactly if the first line of the code to paste doesn't have   leading identation spaces or tabs.",2005-05-21 13:23 EDT by Andrey Loskutov    ,2005-05-27 07:19 EDT       (History)     ,
76167,Quick FIx: create local variable deletes comment above it,RESOLVED           FIXED       ,"Eclipse 20040930 WinXP  Using create local variable quickfix for 'x' on this deletes the comment block:     /*      *       */     x = ""hi"";  create field 'x' is ok though.  Possibly related to bug 66871 ?  Channing",2004-10-13 11:11 EDT by Channing Walton    ,2004-10-27 13:58 EDT       (History)     ,org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/text/correction/NewVariableCompletionProposal.java
96280,[typing] Smart paste has problems if second line has only whitespaces,VERIFIED           FIXED       ,N20050523-0010  Paste the following into a method:  void hasOneExitPoint() {     } void hasTwoExitPoints(int i) {     if (i < 0)         callsMethodThatThrowsRuntimeException(i);  },2005-05-23 05:56 EDT by Dani Megert    ,2005-05-27 07:20 EDT       (History)     ,org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/text/java/JavaAutoIndentStrategy.java
76242,NPE in Unimplemented Methods Completion Proposal,RESOLVED           FIXED       ,"!SESSION Oct 14, 2004 12:22:52.857 eclipse.buildId=I200409300800 java.version=1.4.2_05 java.vendor=Sun Microsystems Inc. BootLoader constants: OS=win32, ARCH=x86, WS=win32, NL=en_GB Command-line arguments: -J-Xmx512m  !ENTRY org.eclipse.ui 4 4 Oct 14, 2004 12:22:52.857 !MESSAGE Unhandled event loop exception  !ENTRY org.eclipse.ui 4 0 Oct 14, 2004 12:22:52.857 !MESSAGE java.lang.NullPointerException !STACK 0 java.lang.NullPointerException         at org.eclipse.jdt.internal.ui.text.correction.UnimplementedMethodsCompletionProposal.evalUnimplementedMethods(UnimplementedMethodsCompletionP roposal.java:198)         at org.eclipse.jdt.internal.ui.text.correction.UnimplementedMethodsCompletionProposal.getRewrite(UnimplementedMethodsCompletionProposal.java:7 3)         at org.eclipse.jdt.internal.ui.text.correction.ASTRewriteCorrectionProposal.addEdits(ASTRewriteCorrectionProposal.java:61)         at org.eclipse.jdt.internal.ui.text.correction.CUCorrectionProposal.initializeTextChange(CUCorrectionProposal.java:135)         at org.eclipse.jdt.internal.ui.text.correction.CUCorrectionProposal.performChange(CUCorrectionProposal.java:258)         at org.eclipse.jdt.internal.ui.text.correction.CUCorrectionProposal.apply(CUCorrectionProposal.java:289)         at org.eclipse.jface.text.contentassist.CompletionProposalPopup.insertProposal(CompletionProposalPopup.java:420)         at org.eclipse.jface.text.contentassist.CompletionProposalPopup.selectProposalWithMask(CompletionProposalPopup.java:362)         at org.eclipse.jface.text.contentassist.CompletionProposalPopup.verifyKey(CompletionProposalPopup.java:720)         at org.eclipse.jface.text.contentassist.ContentAssistant$InternalListener.verifyKey(ContentAssistant.java:622)         at org.eclipse.jface.text.TextViewer$VerifyKeyListenersManager.verifyKey(TextViewer.java:404)         at org.eclipse.swt.custom.StyledTextListener.handleEvent(StyledTextListener.java:55)         at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:82)         at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:796)         at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:820)         at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:805)         at org.eclipse.swt.widgets.Widget.notifyListeners(Widget.java:613)         at org.eclipse.swt.custom.StyledText.handleKeyDown(StyledText.java:5000)         at org.eclipse.swt.custom.StyledText$7.handleEvent(StyledText.java:4747)         at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:82)         at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:796)         at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:820)         at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:805)         at org.eclipse.swt.widgets.Control.sendKeyEvent(Control.java:1736)         at org.eclipse.swt.widgets.Control.sendKeyEvent(Control.java:1732)         at org.eclipse.swt.widgets.Control.WM_CHAR(Control.java:3073)         at org.eclipse.swt.widgets.Control.windowProc(Control.java:2975)         at org.eclipse.swt.widgets.Display.windowProc(Display.java:3351)         at org.eclipse.swt.internal.win32.OS.DispatchMessageW(Native Method)         at org.eclipse.swt.internal.win32.OS.DispatchMessage(OS.java:1488)         at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:2441)         at org.eclipse.ui.internal.Workbench.runEventLoop(Workbench.java:1443)         at org.eclipse.ui.internal.Workbench.runUI(Workbench.java:1414)         at org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:271)         at org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:144)         at org.eclipse.ui.internal.ide.IDEApplication.run(IDEApplication.java:102)         at org.eclipse.core.internal.runtime.PlatformActivator$1.run(PlatformActivator.java:335)         at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:273)         at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:129)         at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)         at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)         at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)         at java.lang.reflect.Method.invoke(Method.java:324)         at org.eclipse.core.launcher.Main.basicRun(Main.java:185)         at org.eclipse.core.launcher.Main.run(Main.java:704)         at org.eclipse.core.launcher.Main.main(Main.java:688)",2004-10-14 07:37 EDT by Channing Walton    ,2004-10-15 07:00 EDT       (History)     ,org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/text/correction/LocalCorrectionsSubProcessor.java
361973,[templates] Add public static method template,RESOLVED           FIXED       ,Build Identifier:   There does not exist any template for a public static method yet there are templates for both public and private static templates. Perhaps a template for a protected static method should be added too.  Reproducible: Always,2011-10-25 13:25 EDT by limpa_112    ,2011-11-09 10:05 EST       (History)     ,
