id,title,status,desc,begin_time,end_time,file_path
98852,Dependency problems not reported in releng style mode,RESOLVED           FIXED       ,In releng style mode the problems in the pde build states are not reported  which makes the debugging of build problem impossible.,2005-06-07 18:17 EDT by Pascal Rapicault    ,2005-06-08 07:25 EDT       (History)     ,
99343,generate build script by right clicking on a plugin generates invalid classpath,RESOLVED           FIXED       ,"Right click on a manifest, PDE Tools > generate build script. This will generate a bogus manifest.",2005-06-10 08:44 EDT by Pascal Rapicault    ,2005-06-10 11:31 EDT       (History)     ,org.eclipse.pde.build/src/org/eclipse/pde/internal/build/BuildScriptGenerator.java
99809,mac branding incorrect when the laucher name is unchanged,RESOLVED           FIXED       ,"3.1 RC2 When exporting an rcp app for Mac, if the launcher name is not changed the resulting application is invalid. This is because the files are deleted by the launcher.",2005-06-13 15:56 EDT by Pascal Rapicault    ,2005-06-16 10:54 EDT       (History)     ,org.eclipse.pde.build/src/org/eclipse/pde/internal/build/BrandingIron.java org.eclipse.pde.build/src/org/eclipse/pde/internal/build/BrandingIron.java
99977,OS names in generated files are incorrect,RESOLVED           FIXED       ,"Trying to make JNLP work on the mac, I just realized that the os constants used in JNLP files generated for features are invalid. For example, for mac, ""macosx"" is used instead of ""Mac OS X"".  The set of valid contants is available from http://lopica.sourceforge.net/ref.html#os-arch-codes.  I think the changes should be pretty minimal.",2005-06-14 11:13 EDT by Pascal Rapicault    ,2005-06-14 14:47 EDT       (History)     ,org.eclipse.pde.build/src_ant/org/eclipse/pde/internal/build/tasks/JNLPGenerator.java
100254,3.1: Files to be fixed for translation,RESOLVED           FIXED       ,"These files were picked up during chkpii run for translation.  ECLIPSE\PLUGINS\ORG.ECLIPSE.PDE.BUILD\NOTES\   M2 NOTES.HTML  HTML-32     128   (W) UNIX file (newline=x'0A') should be converted to PC-DOS (newline=x'0D0A') format in order to be translated.                              827   CHARSET language value should be 'ISO-8859-1' or 'UTF-8'.  Value found: 'WINDOWS-1252'.  Line: 5                              840   FACE attribute should not be used in FONT tag.  Line: 20                                                      840   FACE attribute should not be used in FONT tag.  Line: 22                                                      840   FACE attribute should not be used in FONT tag.  Line: 70                                                      840   FACE attribute should not be used in FONT tag.  Line: 73                                                      840   FACE attribute should not be used in FONT tag.  Line: 111                                                     840   FACE attribute should not be used in FONT tag.  Line: 113                                                     840   FACE attribute should not be used in FONT tag.  Line: 132                                                     840   FACE attribute should not be used in FONT tag.  Line: 134                                                     840   FACE attribute should not be used in FONT tag.  Line: 156                                                     840   FACE attribute should not be used in FONT tag.  Line: 158                                                     840   FACE attribute should not be used in FONT tag.  Line: 189                                                     840   FACE attribute should not be used in FONT tag.  Line: 191                                                     840   FACE attribute should not be used in FONT tag.  Line: 204                                                     840   FACE attribute should not be used in FONT tag.  Line: 206                                                     810   Unmatched (UL /UL) tag on/after NLV line: 89                                                                  831   Missing DOCTYPE tag.  Required to define version of HTML being used.  Line: 1      USINGPDEBUILD.HTML  HTML-40           OK   ECLIPSE\PLUGINS\ORG.ECLIPSE.PDE.BUILD\SCRIPTS\   GENERICTARGETS.XML  XML-10      962   '<?xml' declaration must be defined in line 1, column 1.  Line: 1                                                  969   (W) XML tag attribute (name) may contain translatable text which cannot be translated.  Line: 1                                   969   (W) XML tag attribute (description) may contain translatable text which cannot be translated.  Line: 24                                   969   (W) XML tag attribute (description) may contain translatable text which cannot be translated.  Line: 48                                   969   (W) XML tag attribute (description) may contain translatable text which cannot be translated.  Line: 56                                   969   (W) XML tag attribute (description) may contain translatable text which cannot be translated.  Line: 73                                   969   (W) XML tag attribute (description) may contain translatable text which cannot be translated.  Line: 93                                   969   (W) XML tag attribute (description) may contain translatable text which cannot be translated.  Line: 104                                   969   (W) XML tag attribute (description) may contain translatable text which cannot be translated.  Line: 120                                   969   (W) XML tag attribute (message) may contain translatable text which cannot be translated.  Line: 130                                   969   (W) XML tag attribute (description) may contain translatable text which cannot be translated.  Line: 136                                   969   (W) XML tag attribute (description) may contain translatable text which cannot be translated.  Line: 143                                   973   '<?xml' declaration must be the first XML statement.  Line: 1                      PACKAGE.XML         XML-10      962   '<?xml' declaration must be defined in line 1, column 1.  Line: 1                                                  969   (W) XML tag attribute (description) may contain translatable text which cannot be translated.  Line: 52                                   973   '<?xml' declaration must be the first XML statement.  Line: 1                     ECLIPSE\PLUGINS\ORG.ECLIPSE.PDE.BUILD\TEMPLATES\   CUSTOMTARGETS.XML  XML-10      962   '<?xml' declaration must be defined in line 1, column 1.  Line: 1                                                 969   (W) XML tag attribute (name) may contain translatable text which cannot be translated.  Line: 1                                  961   Found '<' before attribute's closing quote.  Line: 9                                                              961   Found '<' before attribute's closing quote.  Line: 10                                                             955   XML end tag </ant> found before expected end tag for <element.id> (on line 10).  Line: 11                                  955   XML end tag </target> found before expected end tag for <element.id> (on line 10).  Line: 12                                  961   Found '<' before attribute's closing quote.  Line: 21                                                             955   XML end tag </target> found before expected end tag for <element.id> (on line 21).  Line: 23                                  969   (W) XML tag attribute (message) may contain translatable text which cannot be translated.  Line: 170                                  955   XML end tag </project> found before expected end tag for <element.id> (on line 21).  Line: 173                                  957   XML tag <element.id> does not have matching end tag </element.id> or should be an empty tag <element.id />.  Line: 21                                  957   XML tag <target> does not have matching end tag </target> or should be an empty tag <target />.  Line: 21                                  957   XML tag <element.id> does not have matching end tag </element.id> or should be an empty tag <element.id />.  Line: 10                                  957   XML tag <property> does not have matching end tag </property> or should be an empty tag <property />.  Line: 10                                  957   XML tag <feature> does not have matching end tag </feature> or should be an empty tag <feature />.  Line: 9                                  957   XML tag <property> does not have matching end tag </property> or should be an empty tag <property />.  Line: 9                                  957   XML tag <ant> does not have matching end tag </ant> or should be an empty tag <ant />.  Line: 8                                  957   XML tag <target> does not have matching end tag </target> or should be an empty tag <target />.  Line: 7                                  957   XML tag <project> does not have matching end tag </project> or should be an empty tag <project />.  Line: 1                                  973   '<?xml' declaration must be the first XML statement.  Line: 1",2005-06-15 14:20 EDT by Matthew T. Veety    ,2005-06-15 17:14 EDT       (History)     ,
100460,root property in packaging.properties does not seem to be used,RESOLVED           FIXED       ,"I am testing the use of the packager to create an RCP drop from an existing  SDK. The list of files specified in the ""root"" properties in  packaging.properties does not seem to be respected.  To reproduce:  1.  extract attachment (to follow) to a directory. 2.  modify the run.bat script according to the location of your eclipse  install and for the location where you extracted the attachment. 3.  double click run.bat to run. 4.  Observe the ""eclipse-RCP--win32.zip"" in the output directory contains all  root files instead of only the ""eclipse.ini"" and ""eclipse.exe"" specified in  packaging.properties.",2005-06-16 15:00 EDT by Sonia Dimitrov    ,2005-08-24 09:50 EDT       (History)     ,org.eclipse.pde.build/src/org/eclipse/pde/internal/build/packager/PackageConfigScriptGenerator.java org.eclipse.pde.build/src/org/eclipse/pde/internal/build/packager/PackageConfigScriptGenerator.java
102259,[launcher] ICO file not used if launcher name is not changed,RESOLVED           FIXED       ,"3.1  If I don't change the launcher name on the Branding page of the product  editor, the ICO file I select is not used.  The end product shows the eclipse  icon.  If I change the launcher name to 'Wassim', my custom ICO file is used.",2005-06-29 23:20 EDT by Wassim Melhem    ,2006-02-28 08:57 EST       (History)     ,org.eclipse.pde.build/src/org/eclipse/pde/internal/build/BrandingIron.java
103312,[Doc]Build configuration help lists the wrong key for exclude.<library>,RESOLVED           FIXED       ,"From the table of contents select: PDE Guide->Getting Started->Features->Advanced topics in building features->Build configuration   Under the section ""Plug-in specific properties"" the third bullet reads  ""source.<library> - lists the files that should not be copied by in the library by the compiler;""   It should be ""exclude.<library> - ....."" and the definition would make more sense as ""lists the files that should not be copied in to the library by the compiler;""",2005-07-11 09:33 EDT by Brian Schlosser    ,2006-05-23 14:54 EDT       (History)     ,
105282,Generate ANT build scripts for JWS/JNLP export of RCP application,RESOLVED           FIXED       ,"Currently exporting an RCP application as a Java Web Start launchable application is done manually through the ""deployable features"" export wizard. It should be possible to produce an ANT build file that can be used outside of Eclipse in order to automate the generation of JNLP artifacts.  Ideally this should work through the ""Save as Ant script"" option in the export wizard.",2005-07-27 05:59 EDT by Neil Bartlett    ,2006-12-15 09:49 EST       (History)     ,
105283,Templates and generic scripts do not have jnlp flags and signing,RESOLVED           FIXED       ,"Even though the eclipse.buildScript task supports the generation of jnlp files, its invocation in the  genericTargets.xml does not pass in the parameters for jnlp generation and jar signing. Likewise the template does not have any value for the scripts. This is a good candidate for 3.1.1",2005-07-27 06:30 EDT by Pascal Rapicault    ,2006-03-07 10:02 EST       (History)     ,
