id,title,status,desc,begin_time,end_time,file_path
200065,[pde viz] Refresh graph when dependencies change,RESOLVED           FIXED       ,The graph should listen for changes in the model and update itself when the dependencies change. (not sure exactly what to listen to though :) ),2007-08-15 12:40 EDT by Ian Bull    ,2010-05-10 09:56 EDT       (History)     ,
200463,[spy] add the ability to save images based on the selection,RESOLVED           FIXED       , ,2007-08-19 14:54 EDT by Chris Aniszczyk    ,2007-11-12 11:33 EST       (History)     ,
201149,[spy] the spy needs to popup in a reasonable location,RESOLVED           FIXED       ,right now it's always in the center ;),2007-08-24 17:28 EDT by Chris Aniszczyk    ,2007-08-24 17:34 EDT       (History)     ,
201333,NPE when F9'ing a hover with focus,RESOLVED           FIXED       ,"Press F2 to give a hover focus, then try F9...  !ENTRY org.eclipse.ui 4 0 2007-08-27 17:52:13.781 !MESSAGE Unhandled event loop exception !STACK 0 java.lang.NullPointerException 	at org.eclipse.pde.internal.ui.spy.dialogs.SpyDialog.createShellSection(SpyDialog.java:98) 	at org.eclipse.pde.internal.ui.spy.dialogs.SpyDialog.createDialogArea(SpyDialog.java:88) 	at org.eclipse.jface.dialogs.PopupDialog.createContents(PopupDialog.java:457) 	at org.eclipse.jface.window.Window.create(Window.java:426) 	at org.eclipse.pde.internal.ui.spy.handlers.SpyHandler.execute(SpyHandler.java:34) 	at org.eclipse.ui.internal.handlers.HandlerProxy.execute(HandlerProxy.java:239) 	at org.eclipse.core.commands.Command.executeWithChecks(Command.java:475) 	at org.eclipse.core.commands.ParameterizedCommand.executeWithChecks(ParameterizedCommand.java:429) 	at org.eclipse.ui.internal.handlers.HandlerService.executeCommand(HandlerService.java:165) 	at org.eclipse.ui.internal.keys.WorkbenchKeyboard.executeCommand(WorkbenchKeyboard.java:470) 	at org.eclipse.ui.internal.keys.WorkbenchKeyboard.press(WorkbenchKeyboard.java:821) 	at org.eclipse.ui.internal.keys.WorkbenchKeyboard.processKeyEvent(WorkbenchKeyboard.java:879) 	at org.eclipse.ui.internal.keys.WorkbenchKeyboard.filterKeySequenceBindings(WorkbenchKeyboard.java:568) 	at org.eclipse.ui.internal.keys.WorkbenchKeyboard.access$3(WorkbenchKeyboard.java:510) 	at org.eclipse.ui.internal.keys.WorkbenchKeyboard$KeyDownFilter.handleEvent(WorkbenchKeyboard.java:126) 	at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:66) 	at org.eclipse.swt.widgets.Display.filterEvent(Display.java:1141) 	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:937) 	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:962) 	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:947) 	at org.eclipse.swt.widgets.Widget.sendKeyEvent(Widget.java:975) 	at org.eclipse.swt.widgets.Widget.sendKeyEvent(Widget.java:971) 	at org.eclipse.swt.widgets.Widget.wmKeyDown(Widget.java:1570) 	at org.eclipse.swt.widgets.Control.WM_KEYDOWN(Control.java:3992) 	at org.eclipse.swt.widgets.Control.windowProc(Control.java:3701) 	at org.eclipse.swt.widgets.Canvas.windowProc(Canvas.java:291) 	at org.eclipse.swt.widgets.Display.windowProc(Display.java:4364) 	at org.eclipse.swt.internal.win32.OS.DispatchMessageW(Native Method) 	at org.eclipse.swt.internal.win32.OS.DispatchMessage(OS.java:2264) 	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:3291) 	at org.eclipse.jface.window.Window.runEventLoop(Window.java:820) 	at org.eclipse.jface.window.Window.open(Window.java:796) 	at org.eclipse.soda.sat.plugin.dependency.ui.internal.BundleDependencyView.handleConfigure(BundleDependencyView.java:962) 	at org.eclipse.soda.sat.plugin.dependency.ui.internal.BundleDependencyView$3.run(BundleDependencyView.java:345) 	at org.eclipse.jface.action.Action.runWithEvent(Action.java:498) 	at org.eclipse.jface.action.ActionContributionItem.handleWidgetSelection(ActionContributionItem.java:545) 	at org.eclipse.jface.action.ActionContributionItem.access$2(ActionContributionItem.java:490) 	at org.eclipse.jface.action.ActionContributionItem$5.handleEvent(ActionContributionItem.java:402) 	at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:66) 	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:938) 	at org.eclipse.swt.widgets.Display.runDeferredEvents(Display.java:3682) 	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:3293) 	at org.eclipse.ui.internal.Workbench.runEventLoop(Workbench.java:2389) 	at org.eclipse.ui.internal.Workbench.runUI(Workbench.java:2353) 	at org.eclipse.ui.internal.Workbench.access$4(Workbench.java:2219) 	at org.eclipse.ui.internal.Workbench$4.run(Workbench.java:466) 	at org.eclipse.core.databinding.observable.Realm.runWithDefault(Realm.java:289) 	at org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:461) 	at org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:149) 	at org.eclipse.ui.internal.ide.application.IDEApplication.start(IDEApplication.java:106) 	at org.eclipse.equinox.internal.app.EclipseAppHandle.run(EclipseAppHandle.java:153) 	at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.runApplication(EclipseAppLauncher.java:106) 	at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.start(EclipseAppLauncher.java:76) 	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:363) 	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:176) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source) 	at java.lang.reflect.Method.invoke(Unknown Source) 	at org.eclipse.equinox.launcher.Main.invokeFramework(Main.java:504) 	at org.eclipse.equinox.launcher.Main.basicRun(Main.java:443) 	at org.eclipse.equinox.launcher.Main.run(Main.java:1169)",2007-08-27 18:00 EDT by Simon Archer    ,2007-08-27 18:09 EDT       (History)     ,
201687,[spy] Having fun with the cursor,RESOLVED           FIXED       ,"Created attachment 77337 [details] patch for the Spy plugin  The button at the top right side of the dialog was not a bad idea ;-)  I've just tried to improve a bit the user experience making it clear that Eclipse in the ""spy mode"".    The attached patch has the following changes:  - The cursor changes when Eclipse is in the spy mode.  I am not sure if this will look nice on other platforms (I've developed and tested in Windows)  - Hitting ""ESC"" cancels the spy mode  I am also attaching an image that should be placed in icons/obj16",2007-08-30 00:10 EDT by Marcelo Paternostro    ,2009-03-16 15:38 EDT       (History)     ,
206306,[pde viz] Turn around dependencies,RESOLVED           FIXED       ,"If you select a plugin you should be able to determine all plugins that depend on the current selected plugin. Maybe as an radio button option ""Show plugins that depend on the current plugin"" or ""Show plugins that the current plugin depends on"".",2007-10-15 07:23 EDT by Matthias Luebken    ,2009-03-28 02:26 EDT       (History)     ,visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/Activator.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/PDEVizImages.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/analysis/CurrentError.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/analysis/ErrorReporting.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/analysis/UnresolvedError.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/AbstractVisualizationLabelProvider.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/AnalysisUtil.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/DependencyUtil.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/GraphContentProvider.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/HighlightDependencyLableProvider.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/ImagePreviewPane.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/PathDependencyAnalysis.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/PluginVisualizationView.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/ShortestPathDependencyAnalysis.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/SmartPathDependencyAnalysis.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/VisualizationForm.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/internal/visualization/dependency/views/VisualizationLabelProvider.java visualization/plugins/org.eclipse.pde.visualization.dependency/src/org/eclipse/pde/visualization/dependency/analysis/CurrentError.java
207868,[spy] Add Support to spy on Tabbed Pane's,RESOLVED           FIXED       ,It would be nice to see information about the currently displayed tabbed pane.  Example: From the Menu go to Search -> File.  Press Alt+Shift+f1 and the current spy information is:  Active Shell Class:      SearchDialog  What is the IDialogPage(ISearchPage) that is being shown?,2007-10-29 18:01 EDT by Kevin Doyle    ,2007-10-29 22:06 EDT       (History)     ,
232563,[ds] ProvideDetails should open a Interface Creation Wizard instead of java Class Creation Wizard,RESOLVED           FIXED       ,ProvideDetails should open a Interface Creation Wizard instead of java Class Creation Wizard,2008-05-16 14:34 EDT by Rafael Oliveira Nóbrega    ,2008-05-16 14:39 EDT       (History)     ,
208826,[api tooling] Abilility to filter API usage/compatibility problems,RESOLVED           FIXED       ,"When performing an API usage scan, clients will need the ability to filter the result. For example, a consumer may need the ability to say that an illegal reference/use should be ignored/filtered.  This ""filtering"" information needs to be stored with a component's API description, so it can be re-used on later scans.  The API tooling model needs support for this. As well, we need to be able to create/edit filters in the IDE.",2007-11-05 18:02 EST by Darin Wright    ,2008-01-30 15:05 EST       (History)     ,
242027,[ds] graduate the DS tooling,RESOLVED           FIXED       , ,2008-07-24 16:30 EDT by Chris Aniszczyk    ,2008-09-08 09:50 EDT       (History)     ,
209334,[api tooling] api component#getName() should resolve %pluginName,RESOLVED           FIXED       ,"Right now, when creating a api component based on a manifest.mf file, I end up getting %pluginName when asking the getName() of that component. This is pretty much useless. I expect to get the %pluginName substituted with the appropriate value.",2007-11-09 09:14 EST by Olivier Thomann    ,2008-01-08 15:09 EST       (History)     ,
212924,[api tooling] Create problem category and specialized marker types,RESOLVED           FIXED       ,Currently we have one problem marker for all API problems. We should contribute a markerTypeCategory (API Problems) to the markerSupport extension point. We should have different markers for different kinds of problems:  * Binary Compatibility * API Usage * Version Numbering,2007-12-13 14:57 EST by Darin Wright    ,2007-12-17 15:05 EST       (History)     ,
213376,[api tooling] workspace api descriptions must be reusable,RESOLVED           FIXED       ,"Currently whenever our tooling builder is invoked we create a new workspace api description. This is not good as we cycle a lot of memory (depending on your workspace size), and do alot more work than is needed. Also it makes incremental updates to the api description impossible (since the descriptions' life-cycle is not long enough to ever get a notification).   Instead, for the sake of memory/performance/updatability we should create one from persisted cache/or new if no cache exists. That way we can incrementally update plugin project descriptions based on model and java element changes (PDE model, classpath, javadoc tag edits).",2007-12-18 16:31 EST by Michael Rennie    ,2008-01-07 12:47 EST       (History)     ,
214515,[api tooling] plugin project components need to update on PDE changes,RESOLVED           FIXED       ,"The fix to 213376 has the workspace profile updating its components based on java model and resource deltas. One piece that is missing is that a plugin project api component needs to update if there are pde model changes to it.  For example if we change exported packages to be private, we need that to be reflected in the plugins' api description.",2008-01-07 13:02 EST by Michael Rennie    ,2008-01-09 18:18 EST       (History)     ,
